(0, 0.0)
(1, 1.0)
(2, 0.666666666666666666666667)
(3, 0.714285714285714285714286)
(4, 0.723809523809523809523810)
(5, 0.723502304147465437788019)
(6, 0.721966205837173579109063)
(7, 0.721107442214884429768860)
(8, 0.720915198693142484324185)
(9, 0.721046098475298136276024)
(10, 0.721245657455507312757390)
(11, 0.721394775455441112081856)
(12, 0.721464805972234629177391)
(13, 0.721470062681967337849395)
(14, 0.721437342436462153182321)
(15, 0.721390932277993062368186)
(16, 0.721347423650617870385527)
(17, 0.721315546784048619939922)
(18, 0.721297995973784716364076)
(19, 0.721293636660731780802516)
(20, 0.721299387756606273622382)
(21, 0.721311567532330755241254)
(22, 0.721326725598099447562301)
(23, 0.721342071005743546771971)
(24, 0.721355620616204631944981)
(25, 0.721366174746916107742717)
(26, 0.721373200720923926590838)
(27, 0.721376679460870072511032)
(28, 0.721376949540648619216894)
(29, 0.721374567845272591779515)
(30, 0.721370195580082501206303)
(31, 0.721364511774273942205087)
(32, 0.721358152599442044376336)
(33, 0.721351672893773187978127)
(34, 0.721345525572247548908497)
(35, 0.721340054625939984081893)
(36, 0.721335497835177625665062)
(37, 0.721331995923531103205302)
(38, 0.721329605527149057697056)
(39, 0.721328313968907321828642)
(40, 0.721328054369355650283842)
(41, 0.721328720080748290038660)
(42, 0.721330177795280874608827)
(43, 0.721332278960812087272700)
(44, 0.721334869347478474829157)
(45, 0.721337796758640624940972)
(46, 0.721340916981203353280925)
(47, 0.721344098134138370291023)
(48, 0.721347223609177259410689)
(49, 0.721350193811781170648284)
(50, 0.721352926909816791867215)
(51, 0.721355358786749199323091)
(52, 0.721357442379344724523933)
(53, 0.721359146559662698761553)
(54, 0.721360454699540441064865)
(55, 0.721361363034270326119272)
(56, 0.721361878921688410190785)
(57, 0.721362019074039141788386)
(58, 0.721361807823081549888698)
(59, 0.721361275464097191951897)
(60, 0.721360456711751800542210)
(61, 0.721359389290062748243868)
(62, 0.721358112669887548878410)
(63, 0.721356666960196562690629)
(64, 0.721355091953733364199172)
(65, 0.721353426323304565458068)
(66, 0.721351706961689728337798)
(67, 0.721349968455846031055222)
(68, 0.721348242684541651268409)
(69, 0.721346558527643370611186)
(70, 0.721344941674881925813234)
(71, 0.721343414521914166099096)
(72, 0.721341996141801003798014)
(73, 0.721340702320545915557843)
(74, 0.721339545646024961283072)
(75, 0.721338535640432201495901)
(76, 0.721337678927220490170522)
(77, 0.721336979424402209030472)
(78, 0.721336438556960448322390)
(79, 0.721336055481987666297356)
(80, 0.721335827321000549176169)
(81, 0.721335749394665632940894)
(82, 0.721335815455902834029259)
(83, 0.721336017918008877202683)
(84, 0.721336348075057533290375)
(85, 0.721336796312388229570335)
(86, 0.721337352305490005153955)
(87, 0.721338005206026026350216)
(88, 0.721338743814127775511100)
(89, 0.721339556736420917039960)
(90, 0.721340432529530383761911)
(91, 0.721341359829054243305563)
(92, 0.721342327464198275749243)
(93, 0.721343324558429757467828)
(94, 0.721344340616643428307012)
(95, 0.721345365599438585312551)
(96, 0.721346389985187065347192)
(97, 0.721347404820630700820312)
(98, 0.721348401760786574740331)
(99, 0.721349373098961742754224)
(100, 0.721350311787688472762117)
(101, 0.721351211451388686816574)
(102, 0.721352066391564161265105)
(103, 0.721352871585288922478454)
(104, 0.721353622677753739615239)
(105, 0.721354315969581048367639)
(106, 0.721354948399593253251950)
(107, 0.721355517523679204677052)
(108, 0.721356021490363639788827)
(109, 0.721356459013643290645260)
(110, 0.721356829343611858932970)
(111, 0.721357132235354686400144)
(112, 0.721357367916553173095718)
(113, 0.721357537054199186191215)
(114, 0.721357640720781161551069)
(115, 0.721357680360266564475038)
(116, 0.721357657754170024897855)
(117, 0.721357574987962926667069)
(118, 0.721357434418048599176513)
(119, 0.721357238639497585584123)
(120, 0.721356990454709767685102)
(121, 0.721356692843144410376977)
(122, 0.721356348932235424542320)
(123, 0.721355961969587294801786)
(124, 0.721355535296527122742016)
(125, 0.721355072323070030706425)
(126, 0.721354576504338681435878)
(127, 0.721354051318462813926377)
(128, 0.721353500245971390690174)
(129, 0.721352926750678108320255)
(130, 0.721352334262050552705893)
(131, 0.721351726159044093092875)
(132, 0.721351105755373616881880)
(133, 0.721350476286189322636681)
(134, 0.721349840896116927470100)
(135, 0.721349202628617724741025)
(136, 0.721348564416619869891692)
(137, 0.721347929074369000743926)
(138, 0.721347299290443741730498)
(139, 0.721346677621879731186715)
(140, 0.721346066489344482621127)
(141, 0.721345468173304584322710)
(142, 0.721344884811126400085591)
(143, 0.721344318395051504360918)
(144, 0.721343770770988518599045)
(145, 0.721343243638063766344441)
(146, 0.721342738548874190679528)
(147, 0.721342256910387240116365)
(148, 0.721341799985433892424587)
(149, 0.721341368894742617624553)
(150, 0.721340964619463851804779)
(151, 0.721340588004136435605817)
(152, 0.721340239760049440773812)
(153, 0.721339920468954843149844)
(154, 0.721339630587088581103939)
(155, 0.721339370449459647111732)
(156, 0.721339140274368981227616)
(157, 0.721338940168122054752586)
(158, 0.721338770129901138224402)
(159, 0.721338630056765329300887)
(160, 0.721338519748748463916518)
(161, 0.721338438914027040309174)
(162, 0.721338387174132243371052)
(163, 0.721338364069182060587110)
(164, 0.721338369063111325880590)
(165, 0.721338401548879310171253)
(166, 0.721338460853636194359214)
(167, 0.721338546243831409485615)
(168, 0.721338656930248408350759)
(169, 0.721338792072951941832702)
(170, 0.721338950786135350997175)
(171, 0.721339132142856752734942)
(172, 0.721339335179654292417259)
(173, 0.721339558901031862585459)
(174, 0.721339802283807842957907)
(175, 0.721340064281320505275559)
(176, 0.721340343827484748173380)
(177, 0.721340639840695784006876)
(178, 0.721340951227576293182163)
(179, 0.721341276886564393973868)
(180, 0.721341615711340549101156)
(181, 0.721341966594092246591285)
(182, 0.721342328428615953870065)
(183, 0.721342700113256452798179)
(184, 0.721343080553684221770024)
(185, 0.721343468665512041258523)
(186, 0.721343863376752463579704)
(187, 0.721344263630118208402635)
(188, 0.721344668385167924853749)
(189, 0.721345076620300101145071)
(190, 0.721345487334598205629374)
(191, 0.721345899549530411148087)
(192, 0.721346312310507489532069)
(193, 0.721346724688302667125468)
(194, 0.721347135780337407157177)
(195, 0.721347544711837232545665)
(196, 0.721347950636861825090099)
(197, 0.721348352739213735707608)
(198, 0.721348750233230117087637)
(199, 0.721349142364461946448228)
(200, 0.721349528410245243524473)
(201, 0.721349907680168808958440)
(202, 0.721350279516443012286865)
(203, 0.721350643294174148063452)
(204, 0.721350998421548854572244)
(205, 0.721351344339933053280874)
(206, 0.721351680523889819782835)
(207, 0.721352006481120539561264)
(208, 0.721352321752333635483026)
(209, 0.721352625911045079456846)
(210, 0.721352918563314819062674)
(211, 0.721353199347423162023422)
(212, 0.721353467933491067937435)
(213, 0.721353724023048198462117)
(214, 0.721353967348552474826421)
(215, 0.721354197672864785801585)
(216, 0.721354414788682380673618)
(217, 0.721354618517934370899349)
(218, 0.721354808711142651505585)
(219, 0.721354985246751439390320)
(220, 0.721355148030428510945392)
(221, 0.721355296994341106251405)
(222, 0.721355432096409351869672)
(223, 0.721355553319539939317115)
(224, 0.721355660670842681969426)
(225, 0.721355754180832459679945)
(226, 0.721355833902618948085205)
(227, 0.721355899911086418624935)
(228, 0.721355952302065785942093)
(229, 0.721355991191500971739225)
(230, 0.721356016714611548507552)
(231, 0.721356029025053522973300)
(232, 0.721356028294080017739237)
(233, 0.721356014709703510555389)
(234, 0.721355988475861194026389)
(235, 0.721355949811584924431625)
(236, 0.721355898950177136767052)
(237, 0.721355836138394014168131)
(238, 0.721355761635637113583947)
(239, 0.721355675713154565972017)
(240, 0.721355578653252888397515)
